original_code,brand,name,value,price_per_kilo,unit,url,image,supermarket,privateLabel
7063312,DOLE,Μπανάνες Dole Βιολογικής Γεωργίας Εισαγωγής,1.99,1.99,kg,https://www.ab.gr/el/eshop/Oporopoleio/Froyta/Mpananes/Mpananes-Dole-Viologikis-Georgias-Eisagogis/p/7063312,https://www.ab.gr/medias/sys_master/hc6/h06/9678098464798.jpg,ab,False
7434326,ΑΒ,Καρότα Συσκευασμένα Ελληνικά 500 gr,0.74,1.48,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Karota-Reves-Rapanakia/Karota-Syskeyasmena-Ellinika-500-gr/p/7434326,https://www.ab.gr/medias/sys_master/products/hb8/hbc/10425252347934.jpg,ab,True
7064216,ΑΒ,Κρεμμύδια Ξερά Χονδρά Συσκευασμένα,1.38,0.92,kg,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Patates-Kremmydia-Skorda/Kremmydia-Xera-Chondra-Syskeyasmena/p/7064216,https://www.ab.gr/medias/sys_master/h83/h1d/9281427177502.jpg,ab,True
7132187,-,Αβοκάντο Ωριμασμένο Εισαγωγής 370g,3.49,3.49,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Froyta/Ananas-Mangko-Exotika-froyta/Avokanto-Orimasmeno-Eisagogis-370g/p/7132187,https://www.ab.gr/medias/sys_master/products/h40/h7e/10095474507806.jpg,ab,False
7514505,DOLE,Μπανάνες Dole Cavendish,1.87,1.85,kg,https://www.ab.gr/el/eshop/Oporopoleio/Froyta/Mpananes/Mpananes-Dole-Cavendish/p/7514505,https://www.ab.gr/medias/sys_master/hee/hf5/9797850988574.jpg,ab,False
7747741,ΑΒ,Λεμόνια Εισαγωγής Συσκευασμένα,2.69,2.69,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Froyta/Lemonia-Laims/Lemonia-Eisagogis-Syskeyasmena/p/7747741,https://www.ab.gr/medias/sys_master/hb4/h83/9477656805406.jpg,ab,True
7514024,ΑΒ,Αγγούρια Συσκευασμένα Ελληνικά 1 Τεμάχιο,1.25,1.25,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Aggoyria-Ntomates/Aggoyria-Syskeyasmena-Ellinika-1-Temachio/p/7514024,https://www.ab.gr/medias/sys_master/h16/h46/9281515454494.jpg,ab,True
7064241,ΑΒ,Σκόρδα Ξερά Δίχτυ Ελληνικά,1.87,1.87,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Patates-Kremmydia-Skorda/Skorda-Xera-Dichty-Ellinika/p/7064241,https://www.ab.gr/medias/sys_master/he1/hf4/9281387003934.jpg,ab,True
7063706,ΑΒ ΕΠΙΛΟΓΗ,Τοματίνια Βελανίδι Συσκευασμένα Ελληνικά 250gr,1.85,7.4,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Aggoyria-Ntomates/Tomatinia-Velanidi-Syskeyasmena-Ellinika-250gr/p/7063706,https://www.ab.gr/medias/sys_master/hb3/h6c/9996197003294.jpg,ab,True
7335398,ΑΒ,Μαρούλι Άισμπεργκ Τεμάχιο,0.97,2.15,kg,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Maroylia-Salates-Roka/Maroyli-Aismpergk-Temachio/p/7335398,https://www.ab.gr/medias/sys_master/h5c/h97/9407166152734.jpg,ab,True
7513963,ΑΒ,Ντομάτες Συσκευασμένες Ελληνικές,2.7,2.45,kg,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Aggoyria-Ntomates/Ntomates-Syskeyasmenes-Ellinikes/p/7513963,https://www.ab.gr/medias/sys_master/hc7/h40/9426774491166.jpg,ab,True
7511792,ΑΒ,Μήλα Στάρκινγκ Ελληνικά Συσκευασμένα,2.17,2.39,kg,https://www.ab.gr/el/eshop/Oporopoleio/Froyta/Mila/Mila-Starkingk-Ellinika-Syskeyasmena/p/7511792,https://www.ab.gr/medias/sys_master/products/hbf/h73/10160979410974.jpg,ab,True
7063867,ΑΒ,Σαλάτα Πράσινη Σγουρή Τεμάχιο Ελληνική,0.8,0.8,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Maroylia-Salates-Roka/Salata-Prasini-Sgoyri-Temachio-Elliniki/p/7063867,https://www.ab.gr/medias/sys_master/h52/h40/9407250956318.jpg,ab,True
7514211,ΑΒ,Πιπεριές Τύπου Φλωρίνης Συσκευασμένες Ελληνικές,1.95,3.25,kg,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Piperies-Melitzanes-Kolokythakia/Piperies-Typoy-Florinis-Syskeyasmenes-Ellinikes/p/7514211,https://www.ab.gr/medias/sys_master/h9e/h53/9281385693214.jpg,ab,True
7513971,ΑΒ,Κολοκύθια Συσκευασμένα Ελληνικά,2.34,2.89,kg,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Piperies-Melitzanes-Kolokythakia/Kolokythia-Syskeyasmena-Ellinika/p/7513971,https://www.ab.gr/medias/sys_master/h3c/hba/9281512505374.jpg,ab,True
7435445,ΑΒ,Σέλινο Φρέσκο Καθαρισμένο 40g,0.79,19.75,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Aromatika-Myrodika/Selino-Fresko-Katharismeno-40g/p/7435445,https://www.ab.gr/medias/sys_master/h90/h1c/9281425866782.jpg,ab,True
7514724,ΑΒ,Αβοκάντο Συσκευασμένα Εισαγωγής,2.28,5.3,kg,https://www.ab.gr/el/eshop/Oporopoleio/Froyta/Ananas-Mangko-Exotika-froyta/Avokanto-Syskeyasmena-Eisagogis/p/7514724,https://www.ab.gr/medias/sys_master/hf5/h83/9477472649246.jpg,ab,True
7514170,ΑΒ,Μαρούλι Συσκευασμένο Ελληνικό,1.15,1.15,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Maroylia-Salates-Roka/Maroyli-Syskeyasmeno-Elliniko/p/7514170,https://www.ab.gr/medias/sys_master/hbc/h77/9407189549086.jpg,ab,True
7446011,ΑΒ,Πιπεριές 3 Χρωμάτων Γλυκιές Εισαγωγής 450g,2.49,5.53,Κομμάτι,https://www.ab.gr/el/eshop/Oporopoleio/Lachanika/Piperies-Melitzanes-Kolokythakia/Piperies-3-Chromaton-Glykies-Eisagogis-450g/p/7446011,https://www.ab.gr/medias/sys_master/products/h59/h22/10391416143902.jpg,ab,True
